City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Faanui,63,PF,2021-04-20 23:39:26,71,-16.4833,-151.75,81.73,9.17
1,Atuona,4,PF,2021-04-20 23:39:26,74,-9.8,-139.0333,80.51,17.36
2,East London,60,ZA,2021-04-20 23:39:27,84,-33.0153,27.9116,65.71,12.39
3,Truckee,1,US,2021-04-20 23:39:27,23,39.328,-120.1833,62.6,17.27
4,Saskylakh,92,RU,2021-04-20 23:39:28,95,71.9167,114.0833,-2.99,2.15
5,Barrow,1,US,2021-04-20 23:39:28,68,71.2906,-156.7887,19.4,16.11
6,Kodiak,90,US,2021-04-20 23:39:28,81,57.79,-152.4072,44.6,11.5
7,Magistralnyy,100,RU,2021-04-20 23:39:29,70,56.1725,107.4458,23.52,2.71
8,Tuktoyaktuk,90,CA,2021-04-20 23:39:29,86,69.4541,-133.0374,17.6,33.38
9,Rikitea,29,PF,2021-04-20 23:39:30,72,-23.1203,-134.9692,77.9,4.09
10,Rabaul,100,PG,2021-04-20 23:39:30,70,-4.1967,152.1721,83.16,3.91
11,Albany,98,US,2021-04-20 23:39:30,50,42.6001,-73.9662,51.01,7.16
12,Pisco,0,PE,2021-04-20 23:39:31,83,-13.7,-76.2167,68.0,24.16
13,Vila Velha,75,BR,2021-04-20 23:36:53,88,-20.3297,-40.2925,79.0,2.3
14,Jamestown,90,US,2021-04-20 23:34:52,55,42.097,-79.2353,37.99,6.91
15,Georgetown,20,MY,2021-04-20 23:35:43,89,5.4112,100.3354,80.01,2.3
16,Cherskiy,39,RU,2021-04-20 23:39:32,79,68.75,161.3,35.56,22.06
17,Lorengau,100,PG,2021-04-20 23:39:32,73,-2.0226,147.2712,84.94,10.22
18,Clyde River,20,CA,2021-04-20 23:39:33,92,70.4692,-68.5914,3.2,8.05
19,Cabo San Lucas,1,MX,2021-04-20 23:39:33,50,22.8909,-109.9124,80.01,10.36
20,Satana,80,IN,2021-04-20 23:39:33,36,20.5833,74.2,75.74,6.69
21,Avanigadda,51,IN,2021-04-20 23:39:34,77,16.0215,80.9181,82.18,6.11
22,Rawlins,20,US,2021-04-20 23:39:34,37,41.7911,-107.2387,32.0,5.75
23,Dingle,100,PH,2021-04-20 23:39:35,70,10.9995,122.6711,83.26,9.06
24,Bucerias,1,MX,2021-04-20 23:35:31,69,20.75,-105.3333,81.0,14.97
25,Hambantota,20,LK,2021-04-20 23:39:35,100,6.1241,81.1185,77.0,2.3
26,Butaritari,91,KI,2021-04-20 23:39:36,76,3.0707,172.7902,82.11,18.61
27,Oum Hadjer,3,TD,2021-04-20 23:39:36,7,13.2954,19.6966,85.21,10.27
28,Nikolskoye,0,RU,2021-04-20 23:39:36,56,59.7035,30.7861,42.01,8.95
29,Vaini,20,TO,2021-04-20 23:39:37,79,-21.2,-175.2,84.2,5.75
30,Mar Del Plata,20,AR,2021-04-20 23:39:37,88,-38.0023,-57.5575,68.0,12.66
31,Cape Town,68,ZA,2021-04-20 23:38:56,88,-33.9258,18.4232,60.01,5.75
32,Darnah,0,LY,2021-04-20 23:39:38,74,32.767,22.6367,57.78,12.93
33,Manoel Urbano,75,BR,2021-04-20 23:39:38,95,-8.8389,-69.2597,73.94,2.75
34,Grindavik,75,IS,2021-04-20 23:39:39,87,63.8424,-22.4338,35.6,8.05
35,Puerto Ayora,20,EC,2021-04-20 23:39:39,74,-0.7393,-90.3518,82.4,14.97
36,Qaanaaq,96,GL,2021-04-20 23:39:40,70,77.484,-69.3632,-1.62,6.87
37,Lebu,100,CL,2021-04-20 23:39:40,94,-37.6167,-73.65,55.49,4.25
38,Port Alfred,89,ZA,2021-04-20 23:39:40,83,-33.5906,26.891,66.02,12.82
39,Mataura,22,NZ,2021-04-20 23:39:41,81,-46.1927,168.8643,57.0,7.0
40,Khatanga,100,RU,2021-04-20 23:39:41,97,71.9667,102.5,-3.19,3.13
41,Torbay,90,CA,2021-04-20 23:39:42,93,47.6666,-52.7314,37.0,16.11
42,Pacific Grove,90,US,2021-04-20 23:39:42,71,36.6177,-121.9166,55.4,17.27
43,Hervey Bay,75,AU,2021-04-20 23:39:43,64,-25.2986,152.8535,80.01,9.22
44,Avarua,40,CK,2021-04-20 23:39:43,74,-21.2078,-159.775,80.6,11.5
45,Yellowknife,1,CA,2021-04-20 23:37:46,53,62.456,-114.3525,46.4,5.75
46,Teslic,0,BA,2021-04-20 23:39:44,93,44.6064,17.8597,42.8,4.61
47,Mao,0,ES,2021-04-20 23:39:44,88,39.8885,4.2658,55.4,9.22
48,Bonavista,100,CA,2021-04-20 23:39:45,100,48.6499,-53.1147,36.0,5.75
49,Cuamba,100,MZ,2021-04-20 23:39:45,90,-14.8031,36.5372,64.45,6.58
50,Wundanyi,93,KE,2021-04-20 23:39:45,92,-3.4019,38.364,60.1,4.85
51,Saint George,1,US,2021-04-20 23:35:13,9,37.1041,-113.5841,78.01,4.61
52,Sorong,95,ID,2021-04-20 23:39:46,84,-0.8833,131.25,81.07,4.27
53,Atchison,93,US,2021-04-20 23:39:46,47,39.563,-95.1216,46.99,6.58
54,Busselton,3,AU,2021-04-20 23:39:47,78,-33.65,115.3333,56.73,9.64
55,Zheleznodorozhnyy,90,RU,2021-04-20 23:39:47,93,55.7503,38.0042,37.4,11.18
56,Half Moon Bay,90,US,2021-04-20 23:39:48,82,37.4636,-122.4286,57.2,16.11
57,Ushuaia,20,AR,2021-04-20 23:36:07,49,-54.8,-68.3,44.6,6.91
58,Saint-Pierre,75,RE,2021-04-20 23:39:48,88,-21.3393,55.4781,77.0,10.36
59,Dikson,100,RU,2021-04-20 23:39:49,93,73.5069,80.5464,8.92,21.27
60,Ilulissat,33,GL,2021-04-20 23:37:24,67,69.2167,-51.1,17.6,8.05
61,Vardo,0,NO,2021-04-20 23:39:49,53,70.3705,31.1107,44.6,8.05
62,Rio Gallegos,0,AR,2021-04-20 23:39:50,61,-51.6226,-69.2181,46.4,18.41
63,Okhotsk,100,RU,2021-04-20 23:39:50,97,59.3833,143.3,31.46,22.95
64,Serro,100,BR,2021-04-20 23:39:51,76,-18.6047,-43.3794,67.71,3.15
65,Yaan,96,NG,2021-04-20 23:39:51,68,7.3833,8.5667,81.64,10.65
66,Gavle,53,SE,2021-04-20 23:39:51,57,60.6745,17.1417,42.01,1.01
67,Upernavik,96,GL,2021-04-20 23:39:52,86,72.7868,-56.1549,4.01,6.15
68,Hermanus,100,ZA,2021-04-20 23:39:52,90,-34.4187,19.2345,59.0,4.0
69,Neiafu,40,TO,2021-04-20 23:39:53,74,-18.65,-173.9833,84.2,9.22
70,Castro,34,BR,2021-04-20 23:39:53,95,-24.7911,-50.0119,55.69,5.5
71,Kargopol,54,RU,2021-04-20 23:39:54,79,61.5071,38.9456,32.25,5.75
72,Sorland,100,NO,2021-04-20 23:39:54,83,67.667,12.6934,40.12,25.14
73,Luderitz,10,NA,2021-04-20 23:39:54,57,-26.6481,15.1594,69.62,6.96
74,Sinnamary,100,GF,2021-04-20 23:39:55,91,5.3833,-52.95,75.13,11.25
75,Jha Jha,50,IN,2021-04-20 23:39:55,20,24.7667,86.3667,80.4,4.0
76,Port Elizabeth,0,ZA,2021-04-20 23:39:55,94,-33.918,25.5701,60.8,5.75
77,Tasiilaq,20,GL,2021-04-20 23:39:56,68,65.6145,-37.6368,23.0,1.14
78,Mahebourg,75,MU,2021-04-20 23:39:56,94,-20.4081,57.7,77.0,6.91
79,Gijon,62,ES,2021-04-20 23:39:57,82,43.5357,-5.6615,55.99,1.01
80,Orlik,100,RU,2021-04-20 23:39:57,76,52.5178,99.825,20.14,4.41
81,Punta Arenas,0,CL,2021-04-20 23:35:50,75,-53.15,-70.9167,41.0,9.22
82,Radcliff,90,US,2021-04-20 23:35:21,45,37.8404,-85.9491,64.4,13.8
83,Hilo,1,US,2021-04-20 23:39:58,45,19.7297,-155.09,86.0,13.8
84,Chokurdakh,100,RU,2021-04-20 23:39:58,94,70.6333,147.9167,24.82,5.44
85,Hobart,20,AU,2021-04-20 23:39:59,70,-42.8794,147.3294,46.99,8.05
86,Qaqortoq,75,GL,2021-04-20 23:39:59,56,60.7167,-46.0333,37.4,4.61
87,Husavik,75,IS,2021-04-20 23:40:00,56,66.0449,-17.3389,41.0,10.36
88,Dembi Dolo,75,ET,2021-04-20 23:40:00,41,8.5333,34.8,68.29,1.66
89,Psygansu,75,RU,2021-04-20 23:40:00,77,43.4194,43.7936,59.0,4.47
90,Berlevag,83,NO,2021-04-20 23:40:01,81,70.8578,29.0864,41.16,21.65
91,Songjianghe,3,CN,2021-04-20 23:40:01,35,42.1859,127.479,59.86,5.73
92,Pouembout,65,NC,2021-04-20 23:40:02,73,-21.1333,164.9,79.66,3.94
93,Cabedelo,20,BR,2021-04-20 23:40:03,100,-6.9811,-34.8339,78.8,6.91
94,Iguai,85,BR,2021-04-20 23:40:03,95,-14.7564,-40.0892,70.9,3.15
95,Kahului,40,US,2021-04-20 23:40:04,54,20.8947,-156.47,84.2,11.5
96,Coihaique,75,CL,2021-04-20 23:40:04,66,-45.5752,-72.0662,50.0,10.36
97,Mala Vyska,49,UA,2021-04-20 23:40:04,91,48.6431,31.6366,40.37,7.43
98,Samarai,59,PG,2021-04-20 23:40:05,72,-10.6167,150.6667,84.09,10.74
99,Codrington,100,AU,2021-04-20 23:40:05,59,-38.2667,141.9667,52.32,9.15
100,Bandarbeyla,99,SO,2021-04-20 23:40:06,78,9.4942,50.8122,80.96,1.81
101,Abapo,48,BO,2021-04-20 23:40:06,79,-18.8333,-63.4667,68.67,2.53
102,Orichi,5,RU,2021-04-20 23:40:07,70,58.4036,49.0572,31.21,7.94
103,Bredasdorp,100,ZA,2021-04-20 23:40:07,94,-34.5322,20.0403,57.2,4.27
104,Sangar,100,RU,2021-04-20 23:40:08,90,63.9242,127.4739,10.76,5.75
105,Marawi,94,PH,2021-04-20 23:40:08,72,7.9986,124.2928,80.01,4.0
106,Antalaha,99,MG,2021-04-20 23:40:08,93,-14.9003,50.2788,73.74,7.4
107,Gat,1,IL,2021-04-20 23:40:02,100,31.61,34.7642,64.0,2.82
108,Gravdal,99,NO,2021-04-20 23:40:09,85,68.1214,13.5031,40.48,21.18
109,Ola,99,RU,2021-04-20 23:40:09,85,59.5833,151.2833,34.5,25.17
110,North Battleford,1,CA,2021-04-20 23:36:39,22,52.7834,-108.2847,50.0,8.05
111,Pathein,2,MM,2021-04-20 23:40:10,78,16.7833,94.7333,78.73,5.3
112,Portland,20,US,2021-04-20 23:39:36,17,45.5234,-122.6762,75.0,5.75
113,San Policarpo,100,PH,2021-04-20 23:40:11,79,12.1791,125.5072,80.19,7.74
114,Zyryanka,47,RU,2021-04-20 23:40:11,78,65.75,150.85,36.54,28.77
115,Northam,95,GB,2021-04-20 23:40:11,81,51.0333,-4.2167,48.0,1.99
116,Bluff,74,NZ,2021-04-20 23:40:12,82,-46.6,168.3333,57.0,7.0
117,Longyearbyen,75,SJ,2021-04-20 23:40:12,68,78.2186,15.6401,26.6,10.36
118,Hithadhoo,54,MV,2021-04-20 23:40:13,68,-0.6,73.0833,82.13,6.55
119,Port Moresby,20,PG,2021-04-20 23:40:13,66,-9.4431,147.1797,86.0,11.5
120,Bethel,1,US,2021-04-20 23:39:26,35,41.3712,-73.414,69.8,10.36
121,Lubao,90,PH,2021-04-20 23:40:14,89,14.9167,120.55,80.6,2.3
122,Mana,100,GF,2021-04-20 23:40:14,91,5.6592,-53.7767,75.33,10.0
123,Russell,1,US,2021-04-20 23:40:14,33,32.3502,-85.1999,77.0,3.44
124,Strezhevoy,75,RU,2021-04-20 23:40:15,86,60.7333,77.5889,19.4,13.42
125,Talaya,28,RU,2021-04-20 23:40:15,78,61.3833,152.75,33.17,12.46
126,Fort Nelson,40,CA,2021-04-20 23:40:16,15,58.8053,-122.7002,66.2,10.36
127,Vostok,0,RU,2021-04-20 23:40:16,25,46.4856,135.8833,41.0,9.93
128,Te Anau,88,NZ,2021-04-20 23:40:17,64,-45.4167,167.7167,57.92,0.87
129,Abhar,100,IR,2021-04-20 23:40:17,32,36.1468,49.218,64.36,4.92
130,Vila Franca Do Campo,40,PT,2021-04-20 23:40:18,100,37.7167,-25.4333,60.8,12.66
131,Arlit,31,NE,2021-04-20 23:40:18,7,18.7369,7.3853,86.59,7.78
132,Arraial Do Cabo,75,BR,2021-04-20 23:40:18,100,-22.9661,-42.0278,69.8,8.05
133,Dudinka,87,RU,2021-04-20 23:40:19,99,69.4058,86.1778,-16.78,0.92
134,Kapaa,75,US,2021-04-20 23:39:29,69,22.0752,-159.319,78.8,8.05
135,Ambon,40,ID,2021-04-20 23:40:19,83,-3.6954,128.1814,80.6,5.75
136,New Norfolk,16,AU,2021-04-20 23:40:20,73,-42.7826,147.0587,46.0,1.99
137,Kalianget,5,ID,2021-04-20 23:40:20,72,-7.05,113.9333,80.31,7.83
138,Clarksburg,20,US,2021-04-20 23:40:20,34,39.2807,-80.3445,68.0,5.75
139,Bilma,0,NE,2021-04-20 23:40:21,8,18.6853,12.9164,87.13,6.53
140,Ostrovnoy,0,RU,2021-04-20 23:40:21,67,68.0531,39.5131,34.86,18.34
141,Eureka,75,US,2021-04-20 23:40:22,77,40.8021,-124.1637,59.0,4.0
142,Camacha,40,PT,2021-04-20 23:40:22,72,33.0833,-16.3333,64.4,8.05
143,Kabanjahe,40,ID,2021-04-20 23:40:23,100,3.1001,98.4908,75.2,2.3
144,Tynda,82,RU,2021-04-20 23:37:03,71,55.1667,124.7167,27.27,4.56
145,Tiksi,100,RU,2021-04-20 23:40:23,93,71.6872,128.8694,12.83,10.78
146,Baykit,100,RU,2021-04-20 23:40:24,91,61.67,96.37,22.48,4.25
147,Katsuura,0,JP,2021-04-20 23:40:24,37,35.1333,140.3,66.2,14.97
148,Hami,14,CN,2021-04-20 23:40:24,27,42.8,93.45,62.76,9.33
149,Guaruja,72,BR,2021-04-20 23:40:25,26,-23.9931,-46.2564,73.0,1.01
150,Warrnambool,97,AU,2021-04-20 23:40:25,85,-38.3833,142.4833,50.0,4.0
151,Ambikapur,62,IN,2021-04-20 23:40:26,24,23.1167,83.2,77.4,5.03
152,Ayorou,11,NE,2021-04-20 23:40:26,9,14.7308,0.9174,88.03,11.36
153,Mangrul Pir,100,IN,2021-04-20 23:40:26,27,20.3167,77.35,84.54,6.24
154,Eregli,90,TR,2021-04-20 23:40:27,45,37.5133,34.0467,53.33,3.13
155,Zalesovo,70,RU,2021-04-20 23:40:27,84,53.9939,84.7431,18.97,4.54
156,Davila,75,PH,2021-04-20 23:40:28,83,18.4726,120.5763,78.8,23.02
157,Praia,0,CV,2021-04-20 23:40:28,78,14.9215,-23.5087,69.8,10.36
158,Erzin,76,TR,2021-04-20 23:40:28,79,36.9559,36.2,64.0,2.55
159,Petropavlovsk-Kamchatskiy,90,RU,2021-04-20 23:40:29,100,53.0452,158.6483,37.4,6.71
160,Magrath,23,CA,2021-04-20 23:40:29,29,49.4167,-112.8686,50.0,5.75
161,Khandyga,100,RU,2021-04-20 23:40:30,88,62.6667,135.6,17.38,4.68
162,Pangnirtung,78,CA,2021-04-20 23:40:30,89,66.1451,-65.7125,13.44,6.85
163,Yaguajay,80,CU,2021-04-20 23:40:31,49,22.3272,-79.2378,82.29,11.79
164,Kaitangata,9,NZ,2021-04-20 23:40:31,52,-46.2817,169.8464,61.38,3.29
165,Port Shepstone,84,ZA,2021-04-20 23:40:31,81,-30.7414,30.455,66.18,6.24
166,La Ronge,73,CA,2021-04-20 23:40:32,25,55.1001,-105.2842,48.2,6.91
167,Buluang,100,PH,2021-04-20 23:40:32,89,13.3068,123.3425,79.65,8.5
168,Ajdabiya,5,LY,2021-04-20 23:40:33,62,30.7554,20.2263,57.52,9.19
169,Homer,90,US,2021-04-20 23:40:33,58,59.6425,-151.5483,51.8,6.91
170,Thompson,75,CA,2021-04-20 23:40:33,69,55.7435,-97.8558,33.8,16.11
171,Iqaluit,90,CA,2021-04-20 23:40:34,80,63.7506,-68.5145,24.8,19.57
172,Todos Santos,1,MX,2021-04-20 23:40:34,63,23.45,-110.2167,73.99,1.99
173,Abha,0,SA,2021-04-20 23:40:35,54,18.2164,42.5053,60.8,6.22
174,Banposh,23,IN,2021-04-20 23:40:35,64,22.25,84.8,75.54,3.42
175,Ancud,90,CL,2021-04-20 23:40:36,100,-41.8697,-73.8203,48.99,8.7
176,Eyl,88,SO,2021-04-20 23:40:36,78,7.9803,49.8164,81.5,6.87
177,Birjand,0,IR,2021-04-20 23:40:36,30,32.8663,59.2211,51.8,6.91
178,Balikpapan,100,ID,2021-04-20 23:39:09,88,-1.2675,116.8289,77.09,5.93
179,Ust-Koksa,65,RU,2021-04-20 23:40:37,75,50.2696,85.6108,20.91,1.72
180,Rincon,40,US,2021-04-20 23:40:37,53,32.296,-81.2354,73.4,10.36
181,Chicama,40,PE,2021-04-20 23:40:38,88,-7.8447,-79.1469,66.2,10.36
182,Farsund,62,NO,2021-04-20 23:40:38,88,58.0948,6.8047,44.01,19.73
183,Wuan,100,CN,2021-04-20 23:40:38,94,31.6836,112.0044,57.54,8.37
184,Bafoulabe,19,ML,2021-04-20 23:40:39,11,13.8065,-10.8321,94.68,4.09
185,Laela,94,TZ,2021-04-20 23:40:39,96,-8.5667,32.05,58.6,5.73
186,Saint-Philippe,90,RE,2021-04-20 23:40:40,88,-21.3585,55.7679,75.2,5.75
187,Bonfim,54,BR,2021-04-20 23:40:40,50,3.0833,-59.95,81.88,7.09
188,Kavieng,100,PG,2021-04-20 23:40:41,74,-2.5744,150.7967,83.26,6.78
189,Nara,0,JP,2021-04-20 23:40:41,67,34.6851,135.8049,62.01,2.3
190,Severo-Kurilsk,100,RU,2021-04-20 23:40:41,95,50.6789,156.125,34.88,20.8
191,Aklavik,90,CA,2021-04-20 23:40:42,73,68.2191,-135.0107,21.2,16.11
192,Prince Rupert,75,CA,2021-04-20 23:38:53,81,54.3161,-130.3201,48.2,10.36
193,Taywarah,42,AF,2021-04-20 23:40:42,59,33.35,64.4167,38.79,3.94
194,Henties Bay,71,NA,2021-04-20 23:40:43,44,-22.116,14.2845,79.0,5.32
195,Kandrian,95,PG,2021-04-20 23:40:43,69,-6.2167,149.55,84.74,4.79
196,Karratha,11,AU,2021-04-20 23:40:44,43,-20.7377,116.8463,78.69,4.83
197,Beringovskiy,13,RU,2021-04-20 23:40:44,70,63.05,179.3167,29.93,1.39
198,Banamba,1,ML,2021-04-20 23:40:44,14,13.55,-7.45,85.98,6.76
199,Teya,100,RU,2021-04-20 23:40:45,93,60.3778,92.6267,19.69,4.32
200,Muisne,91,EC,2021-04-20 23:40:45,86,0.6,-80.0333,76.91,5.55
201,Meulaboh,89,ID,2021-04-20 23:40:46,85,4.1363,96.1285,77.31,3.22
202,Waingapu,14,ID,2021-04-20 23:40:46,66,-9.6567,120.2641,76.95,4.88
203,Port Lincoln,20,AU,2021-04-20 23:40:46,51,-34.7333,135.8667,57.9,5.17
204,Nizhniy Tsasuchey,1,RU,2021-04-20 23:40:47,27,50.5167,115.1333,58.12,6.76
205,Oranjemund,8,NA,2021-04-20 23:40:47,91,-28.55,16.4333,60.13,3.94
206,Bay City,75,US,2021-04-20 23:39:15,41,43.5945,-83.8889,39.2,10.36
207,Tarpon Springs,90,US,2021-04-20 23:40:48,83,28.1461,-82.7568,75.99,3.44
208,Mae Hong Son,0,TH,2021-04-20 23:40:48,68,19.3003,97.9685,76.03,0.07
209,Tabou,61,CI,2021-04-20 23:40:49,80,4.423,-7.3528,81.32,5.97
210,Namtsy,0,RU,2021-04-20 23:40:49,53,62.7161,129.6658,15.8,2.24
211,West Wendover,1,US,2021-04-20 23:40:50,15,40.7391,-114.0733,59.0,11.5
212,Malakal,86,SS,2021-04-20 23:40:50,31,9.5334,31.6605,87.85,4.18
213,Emba,16,KZ,2021-04-20 23:40:51,48,48.8264,58.1442,31.82,12.55
214,Tuatapere,99,NZ,2021-04-20 23:40:51,82,-46.1333,167.6833,57.0,7.0
215,Ponta Do Sol,81,PT,2021-04-20 23:40:52,62,32.6667,-17.1,60.01,3.0
216,Korla,64,CN,2021-04-20 23:40:52,31,41.7597,86.1469,61.21,2.77
217,Chapais,90,CA,2021-04-20 23:40:53,80,49.7834,-74.8492,24.8,17.27
218,Carnarvon,0,AU,2021-04-20 23:40:53,72,-24.8667,113.6333,62.6,8.05
219,Aasiaat,49,GL,2021-04-20 23:40:53,88,68.7098,-52.8699,11.14,3.29
220,Klaksvik,6,FO,2021-04-20 23:40:54,80,62.2266,-6.589,32.0,6.91
221,Bambous Virieux,75,MU,2021-04-20 23:40:54,94,-20.3428,57.7575,77.0,6.91
222,Xingcheng,67,CN,2021-04-20 23:40:54,67,40.6167,120.7167,54.45,9.46
223,Christchurch,20,NZ,2021-04-20 23:40:55,72,-43.5333,172.6333,61.0,12.66
224,Weiser,1,US,2021-04-20 23:40:55,19,44.251,-116.9693,62.6,4.61
225,Olafsvik,63,IS,2021-04-20 23:40:56,82,64.8945,-23.7142,39.61,11.25
226,Dalbandin,0,PK,2021-04-20 23:40:56,19,28.8947,64.4101,69.31,2.3
227,Bronnoysund,75,NO,2021-04-20 23:40:56,93,65.4625,12.1997,41.0,4.61
228,Jalu,51,LY,2021-04-20 23:40:57,44,29.0331,21.5482,61.47,10.76
229,Alta,10,NO,2021-04-20 23:40:57,52,69.9689,23.2717,41.0,9.22
230,Contamana,98,PE,2021-04-20 23:40:58,71,-7.3333,-75.0167,80.58,4.76
231,San Quintin,28,MX,2021-04-20 23:40:58,68,30.4833,-115.95,63.32,13.58
232,Leningradskiy,53,RU,2021-04-20 23:40:59,72,69.3833,178.4167,35.85,7.52
233,Imbituba,40,BR,2021-04-20 23:40:59,83,-28.24,-48.6703,68.0,12.66
234,Bezhanitsy,100,RU,2021-04-20 23:41:00,88,56.9767,29.8907,41.68,3.31
235,Lompoc,58,US,2021-04-20 23:41:00,71,34.6391,-120.4579,55.4,12.66
236,Adrar,94,MR,2021-04-20 23:41:00,7,20.5022,-10.0711,81.84,8.95
237,Udachnyy,96,RU,2021-04-20 23:41:01,91,66.4167,112.4,8.6,2.3
238,Makaha,90,US,2021-04-20 23:41:01,61,21.4694,-158.2175,80.6,10.36
239,Hasaki,20,JP,2021-04-20 23:41:02,59,35.7333,140.8333,64.99,13.8
240,Ambilobe,95,MG,2021-04-20 23:41:02,97,-13.2,49.05,71.11,4.43
241,Launceston,3,AU,2021-04-20 23:36:10,87,-41.45,147.1667,45.0,3.13
242,Tilichiki,72,RU,2021-04-20 23:41:03,90,60.4667,166.1,28.96,4.36
243,Nuevo Progreso,63,MX,2021-04-20 23:41:03,59,23.1667,-97.95,75.99,8.99
244,Pevek,17,RU,2021-04-20 23:41:03,66,69.7008,170.3133,31.14,21.09
245,Gobabis,0,NA,2021-04-20 23:41:04,37,-22.45,18.9667,59.04,11.3
246,Broken Hill,0,AU,2021-04-20 23:41:04,58,-31.95,141.4333,51.8,10.36
247,Fukue,75,JP,2021-04-20 23:41:05,88,32.6881,128.8419,62.6,3.44
248,Hobyo,95,SO,2021-04-20 23:41:05,72,5.3505,48.5268,83.32,9.26
249,Dargaville,8,NZ,2021-04-20 23:41:05,66,-35.9333,173.8833,69.22,6.44
250,Srednekolymsk,10,RU,2021-04-20 23:41:06,97,67.45,153.6833,36.0,10.74
251,Araouane,19,ML,2021-04-20 23:41:06,5,18.9048,-3.5265,82.08,6.96
252,Chenghai,0,CN,2021-04-20 23:41:07,68,23.4632,116.768,71.6,2.24
253,Victoria,65,HK,2021-04-20 23:39:56,78,22.2855,114.1577,75.0,16.31
254,Macalelon,100,PH,2021-04-20 23:41:07,74,13.7469,122.1386,82.89,9.64
255,Prince George,1,CA,2021-04-20 23:38:13,20,53.9166,-122.753,68.0,4.61
256,Key West,90,US,2021-04-20 23:41:08,83,24.5557,-81.7826,78.8,9.22
257,Ulladulla,0,AU,2021-04-20 23:41:08,47,-35.35,150.4667,59.0,11.5
258,Shenxian,100,CN,2021-04-20 23:41:09,81,36.2411,115.6672,50.43,8.08
259,Provideniya,0,RU,2021-04-20 23:41:09,59,64.3833,-173.3,30.2,4.47
260,Aswan,30,EG,2021-04-20 23:41:10,26,24.0934,32.907,85.78,6.96
261,Esperance,75,AU,2021-04-20 23:41:10,100,-33.8667,121.9,53.6,5.75
262,Sola,35,VU,2021-04-20 23:41:10,76,-13.8833,167.55,83.19,14.36
263,Calabozo,30,VE,2021-04-20 23:41:11,28,8.9242,-67.4293,86.99,4.34
264,Blankenburg,2,DE,2021-04-20 23:41:11,99,51.7833,10.95,44.01,2.48
265,Santa Maria,0,BR,2021-04-20 23:41:12,68,-29.6842,-53.8069,68.0,6.91
266,Fallon,40,US,2021-04-20 23:41:12,9,39.4735,-118.7774,73.4,11.5
267,Marienburg,6,PL,2021-04-20 23:41:12,100,54.0359,19.0266,45.0,3.47
268,Boyolangu,15,ID,2021-04-20 23:41:13,78,-8.1181,111.8935,76.03,0.31
269,Airai,90,TL,2021-04-20 23:41:13,68,-8.9266,125.4092,66.63,0.6
270,Chunskiy,68,RU,2021-04-20 23:41:13,78,56.0815,99.6342,20.59,9.91
271,Taoudenni,35,ML,2021-04-20 23:41:14,11,22.6783,-3.9836,84.54,4.43
272,Tautira,75,PF,2021-04-20 23:41:14,89,-17.7333,-149.15,80.01,10.36
